Результаты компрессии HSI по методам и коэффициенту sc
Параметры: -s 760 -l 480 -b 0, базовые NT/ST: --me 1.6 --ae 0.4, OT/AT: ×2
Сортировка: по возрастанию внутренних эталонов

NT (прогонов: 50):
  sc         Главных    Внутр.
  ------------------------------
  1.4416          29        231
  1.4417          29        231
  1.4418          29        231
  1.4419          29        231
  1.442           29        231
  1.442           29        231
  1.4421          29        231
  1.4422          29        231
  1.4423          29        231
  1.4425          29        231
  1.4426          29        231
  1.4427          29        231
  1.4428          29        231
  1.4429          29        231
  1.26            29        232
  1.2711          28        232
  1.2712          28        232
  1.2713          28        232
  1.2714          28        232
  1.2715          28        232
  1.2716          28        232
  1.2717          28        232
  1.2718          28        232
  1.2719          28        232
  1.272           28        232
  1.273           28        232
  1.274           28        232
  1.275           28        232
  1.276           28        232
  1.277           28        232
  1.278           28        232
  1.2869          28        232
  1.287           28        232
  1.288           28        232
  1.289           28        232
  1.29            28        232
  1.43            28        232
  1.4424          29        232
  1.443           29        232
  1.444           29        232
  1.445           29        233
  1.21            30        234
  1.23            29        234
  1.24            29        234
  1.25            29        234
  1.42            28        234
  1.2             30        235
  1.2             30        235
  1.22            30        235
  1.4             28        235
  1.4             28        235
  1.3             28        236
  1.41            28        236
  1               31        239
  1.447           29        241
  1.448           29        241
  1.449           29        242
  1.45            29        242
  1.46            29        242
  1.446           29        243
  1.47            29        243
  1.1             32        244
  1.6             28        248
  1.48            29        249
  1.5             29        249
  1.49            29        251
  1.8             31        263
  1.7             31        266
  1.9             32        283

