Результаты компрессии HSI по методам и коэффициенту sc
Параметры: -s 760 -l 480 -b 0, NT/ST: --me 0.8 --ae 0.2, OT/AT: --me 1.6 --ae 0.4
Сортировка: по возрастанию внутренних эталонов

NT (прогонов: 635, +S0):
  sc         Главных    Внутр.
  1.196          228      1877
  1.198          228      1877
  1.044          227      1878
  1.048          227      1878
  1.049          227      1878
  1.163          229      1878
  1.166          229      1878
  1.175          229      1878
  1.177          229      1878
  1.199          228      1878
  1.042          227      1879
  1.043          227      1879
  1.046          227      1879
  1.047          227      1879
  1.053          227      1879
  1.054          227      1879
  1.057          227      1879
  1.058          227      1879
  1.164          229      1879
  1.165          229      1879
  1.17           229      1879
  1.170          229      1879
  1.171          229      1879
  1.174          229      1879
  1.178          229      1879
  1.179          229      1879
  1.197          228      1879
  1.20           228      1879
  1.200          228      1879
  1.026          227      1880
  1.027          227      1880
  1.028          227      1880
  1.029          227      1880
  1.030          227      1880
  1.031          227      1880
  1.036          227      1880
  1.037          227      1880
  1.041          227      1880
  1.045          227      1880
  1.050          227      1880
  1.051          227      1880
  1.052          227      1880
  1.055          227      1880
  1.059          227      1880
  1.060          227      1880
  1.071          227      1880
  1.172          229      1880
  1.173          229      1880
  1.194          228      1880
  1.024          227      1881
  1.025          227      1881
  1.032          227      1881
  1.033          227      1881
  1.034          227      1881
  1.035          227      1881
  1.038          227      1881
  1.039          227      1881
  1.040          227      1881
  1.061          227      1881
  1.062          227      1881
  1.064          227      1881
  1.066          227      1881
  1.070          227      1881
  1.18           229      1881
  1.180          229      1881
  1.181          229      1881
  1.185          229      1881
  1.188          228      1881
  1.193          228      1881
  1.001          227      1882
  1.002          227      1882
  1.003          227      1882
  1.004          227      1882
  1.005          227      1882
  1.006          227      1882
  1.007          227      1882
  1.008          227      1882
  1.009          227      1882
  1.010          227      1882
  1.011          227      1882
  1.012          227      1882
  1.013          227      1882
  1.014          227      1882
  1.015          227      1882
  1.063          227      1882
  1.068          227      1882
  1.069          227      1882
  1.072          227      1882
  1.182          229      1882
  1.183          229      1882
  1.184          229      1882
  1.189          228      1882
  1.016          227      1883
  1.017          227      1883
  1.018          227      1883
  1.019          227      1883
  1.020          227      1883
  1.021          227      1883
  1.022          227      1883
  1.023          227      1883
  1.065          227      1883
  1.067          227      1883
  1.186          229      1883
  1.187          229      1883
  1.19           228      1883
  1.190          228      1883
  1.191          228      1884
  1.192          228      1884
  ------------------------------
  -S0            227      1882
  2.0            280      2114


OT (прогонов: 192, +S0):
  sc         Главных    Внутр.
  ------------------------------
  1.064          146      1308
  1.0640         146      1308
  1.0641         146      1308
  1.0642         146      1308
  1.0643         146      1308
  1.0644         146      1308
  1.0645         146      1308
  1.0646         146      1308
  1.0647         146      1308
  1.0648         146      1308
  1.0649         146      1308
  1.065          146      1308
  1.0650         146      1308
  1.0651         146      1308
  1.0652         146      1308
  1.0653         146      1308
  1.0654         146      1308
  1.0655         146      1308
  1.0656         146      1308
  1.0657         146      1308
  1.0658         146      1308
  1.0659         146      1308
  1.066          146      1308
  1.0660         146      1308
  1.0661         146      1308
  1.0662         146      1308
  1.0663         146      1308
  1.0664         146      1308
  1.0665         146      1308
  1.0666         146      1308
  1.0667         146      1308
  1.0668         146      1308
  1.0669         146      1308
  1.067          146      1308
  1.0670         146      1308
  1.0671         146      1308
  1.0672         146      1308
  1.0673         146      1308
  1.0674         146      1308
  1.0675         146      1308
  1.0676         146      1308
  1.0677         146      1308
  1.0678         146      1308
  1.0679         146      1308
  1.068          146      1308
  1.0680         146      1308
  1.0681         146      1308
  1.0682         146      1308
  1.0683         146      1308
  1.0684         146      1308
  1.0685         146      1308
  1.0686         146      1308
  1.0687         146      1308
  1.0688         146      1308
  1.0689         146      1308
  1.069          146      1308
  1.0690         146      1308
  1.0691         146      1308
  1.097          145      1308
  1.0970         145      1308
  1.0971         145      1308
  1.0972         145      1308
  1.0973         145      1308
  1.0974         145      1308
  1.0975         145      1308
  1.0976         145      1308
  1.0977         145      1308
  1.0978         145      1308
  1.14           146      1308
  1.1400         146      1308
  1.1401         146      1308
  1.1402         146      1308
  1.001          145      1309
  1.002          145      1309
  1.003          145      1309
  1.004          145      1309
  1.005          145      1309
  1.006          145      1309
  1.007          145      1309
  1.008          145      1309
  1.009          145      1309
  1.010          145      1309
  1.011          145      1309
  1.012          145      1309
  1.013          145      1309
  1.014          145      1309
  1.015          145      1309
  1.016          145      1309
  1.017          145      1309
  1.018          145      1309
  1.019          145      1309
  1.020          145      1309
  1.044          146      1309
  1.045          146      1309
  1.046          146      1309
  1.047          146      1309
  1.048          146      1309
  1.049          146      1309
  1.050          146      1309
  1.051          146      1309
  1.052          146      1309
  1.053          146      1309
  1.054          146      1309
  1.055          146      1309
  1.056          146      1309
  1.057          146      1309
  1.061          146      1309
  1.062          146      1309
  1.063          146      1309
  1.0692         146      1309
  1.0693         146      1309
  1.0694         146      1309
  1.0695         146      1309
  1.0696         146      1309
  1.0697         146      1309
  1.0698         146      1309
  1.0699         146      1309
  1.070          146      1309
  1.071          146      1309
  1.072          146      1309
  1.073          146      1309
  1.074          146      1309
  1.0979         145      1309
  1.098          145      1309
  1.1403         146      1309
  1.1404         146      1309
  1.1405         146      1309
  1.1406         146      1309
  1.1407         146      1309
  1.1408         146      1309
  1.1409         146      1309
  1.021          145      1310
  1.041          146      1310
  1.042          146      1310
  1.043          146      1310
  1.058          146      1310
  1.059          146      1310
  1.060          146      1310
  1.075          146      1310
  1.076          146      1310
  1.099          145      1310
  1.20           148      1310
  1.022          145      1311
  1.023          145      1311
  1.024          146      1311
  1.025          146      1311
  1.026          146      1311
  1.033          146      1311
  1.034          146      1311
  1.035          146      1311
  1.036          146      1311
  1.037          146      1311
  1.038          146      1311
  1.039          146      1311
  1.040          146      1311
  1.077          146      1311
  1.092          146      1311
  1.093          146      1311
  1.095          146      1311
  1.096          146      1311
  1.12           146      1311
  1.13           146      1311
  1.027          146      1312
  1.028          146      1312
  1.029          146      1312
  1.030          146      1312
  1.031          146      1312
  1.032          146      1312
  1.078          146      1312
  1.079          146      1312
  1.080          146      1312
  1.081          146      1312
  1.082          146      1312
  1.083          146      1312
  1.084          146      1312
  1.085          146      1312
  1.087          146      1312
  1.088          146      1312
  1.089          146      1312
  1.090          146      1312
  1.091          146      1312
  1.094          146      1312
  1.16           146      1312
  1.086          146      1313
  1.10           146      1313
  1.100          146      1313
  1.15           146      1313
  1.11           146      1314
  1.19           149      1316
  1.17           149      1318
  1.18           149      1318
  ------------------------------
  -S0            145      1309
  2.0            182      1554


ST (прогонов: 252, +S0):
  sc         Главных    Внутр.
  ------------------------------
  1.083           85       715
  1.0830          85       715
  1.0831          85       715
  1.0832          85       715
  1.0833          85       715
  1.0834          85       715
  1.0835          85       715
  1.0836          85       715
  1.0837          85       715
  1.0838          85       715
  1.0839          85       715
  1.084           85       715
  1.0840          85       715
  1.0841          85       715
  1.0842          85       715
  1.0843          85       715
  1.0844          85       715
  1.0845          85       715
  1.0846          85       715
  1.0847          85       715
  1.0848          85       715
  1.0849          85       715
  1.085           85       715
  1.0850          85       715
  1.0851          85       715
  1.0852          85       715
  1.0853          85       715
  1.0854          85       715
  1.0855          85       715
  1.0856          85       715
  1.0857          85       715
  1.0858          85       715
  1.0859          85       715
  1.086           85       715
  1.0860          85       715
  1.0861          85       715
  1.0862          85       715
  1.0863          85       715
  1.0864          85       715
  1.0865          85       715
  1.0866          85       715
  1.0867          85       715
  1.0868          85       715
  1.0869          85       715
  1.087           85       715
  1.0870          85       715
  1.0871          85       715
  1.0872          85       715
  1.0873          85       715
  1.0874          85       715
  1.0875          85       715
  1.0876          85       715
  1.0877          85       715
  1.0878          85       715
  1.0879          85       715
  1.088           85       715
  1.0880          85       715
  1.0881          85       715
  1.0882          85       715
  1.0883          85       715
  1.0884          85       715
  1.0885          85       715
  1.0886          85       715
  1.0887          85       715
  1.0888          85       715
  1.0889          85       715
  1.089           85       715
  1.0890          85       715
  1.0891          85       715
  1.0892          85       715
  1.18            85       715
  1.180           85       715
  1.1800          85       715
  1.1801          85       715
  1.1802          85       715
  1.181           85       715
  1.1810          85       715
  1.1813          85       715
  1.1814          85       715
  1.1815          85       715
  1.1816          85       715
  1.1817          85       715
  1.1818          85       715
  1.183           85       715
  1.1830          85       715
